Card   1: 81  1 43 40 49 51 38 65 36  4 | 21 15  1 43 60  9 83 81 35 49 40 38 82 65 20  4 58 94 16 89 84 10 77 48 76
Card   2: 15 89 71 17 91 78 35 55 68 49 | 80 31 89 91 23 55 36 68 22 61 66 24 42 49 33 21 19 73 29 60 15 34 71 10 87
Card   3:  4 45 78 42 29 92 16 90 93 30 | 97 90 75 40 43 65 92 83 41  4 47 35 29 80 68 87 30 71 98 42 95  7 76 69 88
Card   4: 81  2 80 85 14 28 88 84 74 78 | 54 38 30 40 85 93 71 10 67  2 81 57 74  9 14  5 97 28 79 95 84 65 69 23 21
Card   5: 40 27 72 38 99 28 74 31 45 41 | 64 61 77 92 96 34 29 44 91 40 73 20 38 39 85 27 56 52 86 41 87 24 13 62 30
Card   6: 58 67 17 96 73  9  5 71 23 87 | 67 72 79  7 54 47 94 84 98 17  5 99 82 27 21 96 23 22 87 66 36 26 76 19 58
Card   7: 89 70 36 38 86 50 94 62 56  3 |  7  8 56 14 58 65 63 36 54 59 78 79 11  2 69 55 61 39 19 60  4 99 90 17 95
Card   8: 29 54 26  8 44 43 41 15 63 22 | 76 91 70 54  1 33 11 88 26 69 64 44 16 20 46 25 38 49 15 10 29 32 87  8 67
Card   9: 41 26 83 86 96 27 57  6 92 10 | 14  1 39 15 12 21 13 25 43 87 78 67 58 51 49 97 30 76 59 65 93 60 44 77 90
Card  10: 38 40 81 54 30 61 82 51 99 71 | 43 74 45 70 18 31 66 96 21 92 61 91 55 67 41 15 77 88 11  7  8 93 30 35 82
Card  11: 69 47 52 27 78 17 39 88 83 71 | 70 87 71 33 25 43 82 49 30 58 67 89 95 74 93 28 99 85 78 73 10 75  9 91 15
Card  12: 54 46 50 79 57 88 90 61 12  5 | 64 33 13 35 57 29 81 89 49 47 37 25 66 68 20 73 19 36 39 79  5 96  3 95 42
Card  13: 67 56 62 13 55 38 89 10 91 75 | 23 58 95 92 17 52 84 64 77 54 20 98 89 83  4 66 87 25 27 51  2 37 81 56 12
Card  14: 54 42 51 76 66 14 74  6 35 89 | 50 47 63 16 91 41 43 39  2 95 84  8 18 23 83 64 97 48 96 69 29 44  1 24 72
Card  15: 83  1 88 31 58 35 21 62 36 33 | 68 30 85 28 71 49  2 86 12 13  7 42 20 93 66 17  4 67 19 65 43  6 16 75 22
Card  16:  3  6 41 38 71 53 86 12 49 84 | 84 12  6 44 31 85 71 50 41 35 27 38 96 42 21  9 13 86 49 91 36 40 53  3 93
Card  17:  1 14 50 61 19 68 48 40 63 69 | 19 11 69 63 25 50 86 80 26 29 42 48 52 21 56 14  6 41 68 40  1 61 36 16  3
Card  18: 27  3 77 91 69 84 14 32 50  5 |  6  5 64 91  3 10  4  1 84 76 77 70 27 59 78 24 32 92 69 50 52 54 82 14 95
Card  19: 93 65  3 23 46 82 49 95 30 91 | 35 89 49 82 32 18 71 46 81 93 95 23 27 45 96 65 94 24 70  3 30 19 85 56 91
Card  20: 73 98 10 19  2 39 42 81 93 41 | 87 42 93 34 95 82 73 83 89 31 70 98 20 12 41 61 10 65 81 71 19 39 35  2  5
Card  21:  3 97 15 68 19 48 46 47 42 91 | 68 15 13 12 20 79 19 94 99  5 97  4 16 91 36 76 47 45 48 53  3 46 64 42 67
Card  22: 66 57 76 36 69 48 60 71 87 75 | 31 73 75 28 63 87 40 71 59  5 36 19  8 60 38 94 48 37 13 18 52 69 57 76 66
Card  23: 11 15 29 35 99 68 65 86 88 50 | 36  8 16 20 85 61 17 44 38 55 52 27 35 94 99 37 74 33 90 65 30 28 83 11 14
Card  24: 94 26 38 83 63 18 25 20 95 87 | 28  1 42  2 95 38 65 77 66 12 97 94 34 55 75 74 89 18 80 27 63 20 87 37  7
Card  25: 35 79 48 37 65 59 17 70  9 78 |  2 78 80 70 13  9 48 97 12 65 29 37 81 35 79 38  4 22 59 68 17 72 11 83 23
Card  26:  7 68 37  9 41 13 82 71 17 69 | 36 85 15 28 96 61 87 14 74 67 27 48  1 26 79 94 66 35 90 22 62 57 20 97 76
Card  27: 85 65 73 76 50 52 58 28 49 96 | 25 28 89 80  9 33 18 58  5 34 68 41 13  4 65 64 75 47 55  6 43 66 69 62 24
Card  28: 59 85 80 77 38 74 92 64 68 21 | 79  6 32 43 76 86 31 51 44 47 94 92 23 34 87 29 42 69 96 55 63  5 22 80 71
Card  29: 39 73 96 21 22 45 72  9 16 31 | 52 91 73 53 97 24 65 51 59 89 69 70 21 16 12 63 30  9 86 55 40 22 45 90 33
Card  30: 70 41 73 86 81 18 37 84 49 93 | 29 45 92 86 72 49 14 78 87 81 18 52 27 73 48 42 37 63 38 36 83 21 39 97 66
Card  31: 47 38 27 20 53 19 65 36 32 76 | 72 32 46 37 67 92 63  1 36 96 22 14 84 35 48 55 18 81 79 49 66  7 88  3 70
Card  32: 79 86 28 46 55 13 58 31 40 52 | 62 81 46 87 76 47 38 74  5 12 92 68 75 52 37 60 13 36 34 30 11 28 86  9 55
Card  33: 73 51 26 98 78 41 27 63 70 77 | 49 27 32 41 48 86 47 70  7 63 65 10 13 94 69 66 90 22 96 46 82 77 79 67 51
Card  34: 59 12 56 96 69 89 47 71 15 14 | 71 19  6 60 63 15 32 17 77 34 10 92 80  9 12 93 66 29 76 45 47 64 28 86  4
Card  35: 97 68 94 87 35 74 86 71 63 19 | 86  6 94  1 81 65 36 13 78  8 32 49 25 16 99 18 59 76 60 14 51 11 66 56 58
Card  36:  4 60 58 47 12 77 94 89  1 82 |  8  5  2 45 10 89 64 30 95 60 20 61 66 74  7 31  4 83 62 36 25 40 33 87 93
Card  37: 18  9 92 54 47 19 81 89 51  7 | 73 13 72 18 37 71 76 59 91 99 65 92 80 38 26 83  6 58 46 43 84 60 27  1 12
Card  38: 96 40 86 17 43 19 53 47 83 82 | 52 61 91 73 50 87 92 21 14 43  6 74 29 72  2 65 16 54 36 33  4 81 88 23 59
Card  39: 65  9 73 98 89 68 57 40  4 44 | 28 83 13 20  3  9 77 19 82 48 90 85 45 51 96 43 52  7 29 92 21 88 66 87  2
Card  40: 36 50 72 14 31 51  1 43 85 96 | 74  5 86 60  3 62 91 49 89 47 83 70 58 68 45 18 73 63 87 56 37 76  7 44 46
Card  41: 71 72 28 29 92 64  8 30 12 59 | 83 68  7 28 12  3  9  5 87 72 82 19 66 30 71 77  1 65 59 96 92 29  8 64 45
Card  42: 31 78 10 67 97 29 61 71 52 80 | 20 55 32 46 67 54 71 58 22  9 85 53 15 43 37 11 10 95 23 80 14 68 57 26 29
Card  43:  5 24 93 52 33 75 72 23 12 35 | 63 39 99 45 60 15 33 61  2 67 46 79 65 56 68 20 80 51 74 85 73 23 52 14  5
Card  44: 21 94  5 30 86 38 31 13  3 18 |  4 66 34 94 31 75 99 38  1 53 89 11 13 86 30 98 87  5 49  3 58 18 56 21 97
Card  45: 37 78 71 90 77 58 56 55 31 34 |  5 61 83 88 90 39 30 32 58 37 71 57 79  1 78 13 22 81 34 69 77 18 41 98  8
Card  46: 23 14 99 65 27 68 35 13 64 24 | 14 35 99 76 24 60 47 28 31 40 43 75 68 95 92 17 96 50 97 23 45 64 65 27 13
